2025-04-01 12:08:22 | 10 | LR0.0003 | loss44.4838 | gradNorm0.9999 | logitMin-34.5793 | logitMax-3.2770 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 12:08:50 | 20 | LR0.0003 | loss48.7268 | gradNorm1.0000 | tokenCount3.0 | logitMin-18.0944 | logitMax11.3677 | memoryGate0.3333 | Training
2025-04-01 14:20:53 | 1100 | LR0.0003 | loss36.1677 | gradNorm0.9999 | tokenCount3.0 | logitMin-28.0126 | logitMax-4.6739 | memoryGate0.3333 | Training
2025-04-01 14:26:43 | 1200 | LR0.0003 | loss32.3844 | gradNorm0.9999 | tokenCount3.0 | logitMin-26.8898 | logitMax-6.2795 | memoryGate0.3333 | Training
2025-04-01 14:32:32 | 1300 | LR0.0003 | loss46.2341 | gradNorm0.9999 | tokenCount3.0 | logitMin-31.4247 | logitMax-4.9264 | memoryGate0.3333 | Training
2025-04-01 14:38:23 | 1400 | LR0.0003 | loss33.1467 | gradNorm1.0000 | tokenCount3.0 | logitMin-25.8626 | logitMax-6.9060 | memoryGate0.3333 | Training
2025-04-01 14:44:13 | 1500 | LR0.0003 | loss38.9934 | gradNorm1.0000 | tokenCount3.0 | logitMin-29.7623 | logitMax-2.8891 | memoryGate0.3333 | Training
2025-04-01 14:49:55 | 1600 | LR0.0003 | loss44.7431 | gradNorm1.0000 | tokenCount3.0 | logitMin-25.4898 | logitMax0.9192 | memoryGate0.3333 | Training
2025-04-01 14:55:00 | 1700 | LR0.0003 | loss45.3742 | gradNorm0.9999 | tokenCount3.0 | logitMin-27.3460 | logitMax1.3998 | memoryGate0.3333 | Training
2025-04-01 15:00:25 | 1800 | LR0.0003 | loss42.2640 | gradNorm1.0000 | tokenCount3.0 | logitMin-27.9354 | logitMax-0.2310 | memoryGate0.3333 | Training
2025-04-01 15:05:46 | 1900 | LR0.0003 | loss38.6438 | gradNorm0.9999 | tokenCount3.0 | logitMin-26.2693 | logitMax-3.8574 | memoryGate0.3333 | Training
2025-04-01 15:11:11 | 2000 | LR0.0003 | loss41.0704 | gradNorm1.0000 | tokenCount3.0 | logitMin-26.3746 | logitMax-1.1257 | memoryGate0.3333 | Training
2025-04-01 15:16:39 | 2100 | LR0.0003 | loss33.0445 | gradNorm1.0000 | tokenCount3.0 | logitMin-27.3442 | logitMax-7.5067 | memoryGate0.3333 | Training
2025-04-01 15:22:03 | 2200 | LR0.0003 | loss38.4150 | gradNorm0.9999 | tokenCount3.0 | logitMin-24.8421 | logitMax-0.9137 | memoryGate0.3333 | Training
2025-04-01 15:27:27 | 2300 | LR0.0003 | loss30.1481 | gradNorm0.9999 | tokenCount3.0 | logitMin-25.2006 | logitMax-4.5216 | memoryGate0.3331 | Training
2025-04-01 15:32:54 | 2400 | LR0.0003 | loss29.0975 | gradNorm0.9999 | tokenCount3.0 | logitMin-24.4517 | logitMax-3.7444 | memoryGate0.3331 | Training
2025-04-01 15:38:18 | 2500 | LR0.0003 | loss26.7603 | gradNorm1.0000 | tokenCount3.0 | logitMin-22.2992 | logitMax-4.9027 | memoryGate0.3333 | Training
2025-04-01 15:43:42 | 2600 | LR0.0003 | loss38.4760 | gradNorm1.0000 | tokenCount3.0 | logitMin-25.6170 | logitMax-1.7159 | memoryGate0.3333 | Training
2025-04-01 15:49:05 | 2700 | LR0.0003 | loss45.8750 | gradNorm0.9999 | tokenCount3.0 | logitMin-20.8686 | logitMax4.5590 | memoryGate0.3333 | Training
2025-04-01 15:54:03 | 2800 | LR0.0003 | loss36.1289 | gradNorm1.0000 | tokenCount3.0 | logitMin-17.4715 | logitMax3.7929 | memoryGate0.3333 | Training
2025-04-01 15:58:59 | 2900 | LR0.0003 | loss36.7100 | gradNorm1.0000 | tokenCount3.0 | logitMin-16.5386 | logitMax6.8862 | memoryGate0.3333 | Training
2025-04-01 16:03:59 | 3000 | LR0.0003 | loss26.8064 | gradNorm0.9999 | tokenCount3.0 | logitMin-13.4760 | logitMax5.8913 | memoryGate0.3333 | Training
2025-04-01 16:08:58 | 3100 | LR0.0003 | loss36.7121 | gradNorm0.9999 | tokenCount3.0 | logitMin-19.2003 | logitMax7.0835 | memoryGate0.3333 | Training
2025-04-01 16:13:57 | 3200 | LR0.0003 | loss36.8042 | gradNorm1.0000 | tokenCount3.0 | logitMin-17.1303 | logitMax7.0723 | memoryGate0.3333 | Training
2025-04-01 16:19:00 | 3300 | LR0.0003 | loss36.6905 | gradNorm1.0000 | tokenCount3.0 | logitMin-17.7781 | logitMax3.0847 | memoryGate0.3333 | Training
2025-04-01 16:24:04 | 3400 | LR0.0003 | loss31.7493 | gradNorm1.0000 | tokenCount3.0 | logitMin-13.1427 | logitMax6.2538 | memoryGate0.3333 | Training
2025-04-01 16:29:09 | 3500 | LR0.0003 | loss40.8907 | gradNorm1.0000 | tokenCount3.0 | logitMin-11.6432 | logitMax14.6336 | memoryGate0.3333 | Training
2025-04-01 16:34:13 | 3600 | LR0.0003 | loss35.9489 | gradNorm1.0000 | tokenCount3.0 | logitMin-8.3863 | logitMax15.0758 | memoryGate0.3333 | Training
2025-04-01 16:39:12 | 3700 | LR0.0003 | loss30.9469 | gradNorm0.9999 | tokenCount3.0 | logitMin-11.1956 | logitMax6.5063 | memoryGate0.3333 | Training
2025-04-01 17:08:57 | 3800 | LR0.0003 | loss29.4825 | gradNorm0.9999 | tokenCount3.0 | logitMin-12.6867 | logitMax7.0956 | memoryGate0.3333 | Training
2025-04-01 17:13:50 | 3900 | LR0.0003 | loss30.1868 | gradNorm0.9999 | tokenCount3.0 | logitMin-12.6547 | logitMax4.2771 | memoryGate0.3333 | Training
2025-04-01 17:18:50 | 4000 | LR0.0003 | loss37.9876 | gradNorm0.9999 | tokenCount3.0 | logitMin-18.2672 | logitMax5.8626 | memoryGate0.3333 | Training
2025-04-01 17:23:49 | 4100 | LR0.0003 | loss44.6722 | gradNorm0.9999 | tokenCount3.0 | logitMin-22.0024 | logitMax5.7897 | memoryGate0.3333 | Training
2025-04-01 17:28:50 | 4200 | LR0.0003 | loss45.6749 | gradNorm1.0000 | tokenCount3.0 | logitMin-21.1147 | logitMax3.3347 | memoryGate0.3332 | Training
2025-04-01 17:33:58 | 4300 | LR0.0003 | loss44.1110 | gradNorm0.9999 | tokenCount3.0 | logitMin-19.6800 | logitMax3.2612 | memoryGate0.3333 | Training
2025-04-01 17:39:04 | 4400 | LR0.0003 | loss52.3818 | gradNorm1.0000 | tokenCount3.0 | logitMin-22.1505 | logitMax6.7489 | memoryGate0.3333 | Training
2025-04-01 17:44:28 | 100 | LR0.0003 | loss27.6367 | gradNorm0.9999 | logitMin-55.5624 | logitMax-23.1680 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 17:49:21 | 200 | LR0.0003 | loss39.2712 | gradNorm1.0000 | tokenCount3.0 | logitMin-37.9259 | logitMax-8.0787 | memoryGate0.3333 | Training
2025-04-01 17:54:38 | 300 | LR0.0003 | loss44.9736 | gradNorm1.0000 | tokenCount3.0 | logitMin-40.2325 | logitMax-10.1579 | memoryGate0.3333 | Training
2025-04-01 17:59:43 | 400 | LR0.0003 | loss39.0474 | gradNorm0.9999 | tokenCount3.0 | logitMin-34.7129 | logitMax-8.9797 | memoryGate0.3333 | Training
2025-04-01 18:08:45 | 100 | LR0.0003 | loss37.5087 | gradNorm0.9900 | logitMin-40.0827 | logitMax6.1246 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 18:13:56 | 200 | LR0.0003 | loss46.5570 | gradNorm0.9999 | tokenCount3.0 | logitMin-25.1021 | logitMax9.7591 | memoryGate0.3333 | Training
2025-04-01 18:19:18 | 300 | LR0.0003 | loss29.9430 | gradNorm0.9999 | tokenCount3.0 | logitMin-18.3980 | logitMax2.8866 | memoryGate0.3333 | Training
2025-04-01 18:24:44 | 400 | LR0.0003 | loss25.5459 | gradNorm0.9999 | tokenCount3.0 | logitMin-24.3172 | logitMax-5.7599 | memoryGate0.3333 | Training
2025-04-01 18:32:36 | 100 | LR0.0003 | loss35.6938 | gradNorm0.9900 | logitMin-41.0307 | logitMax5.7077 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 18:37:45 | 200 | LR0.0003 | loss42.7105 | gradNorm1.0000 | tokenCount3.0 | logitMin-27.5390 | logitMax7.7023 | memoryGate0.3333 | Training
2025-04-01 18:42:49 | 300 | LR0.0003 | loss33.4387 | gradNorm0.9999 | tokenCount3.0 | logitMin-22.1242 | logitMax3.7515 | memoryGate0.3333 | Training
2025-04-01 18:47:57 | 400 | LR0.0003 | loss27.8834 | gradNorm0.9999 | tokenCount3.0 | logitMin-25.8529 | logitMax-5.3943 | memoryGate0.3333 | Training
2025-04-01 18:53:12 | 500 | LR0.0003 | loss27.7121 | gradNorm1.0000 | tokenCount3.0 | logitMin-23.8507 | logitMax-3.9150 | memoryGate0.3333 | Training
2025-04-01 18:58:14 | 600 | LR0.0003 | loss24.2895 | gradNorm1.0000 | tokenCount3.0 | logitMin-23.9462 | logitMax-4.5691 | memoryGate0.3333 | Training
2025-04-01 19:03:19 | 700 | LR0.0003 | loss26.2293 | gradNorm1.0000 | tokenCount3.0 | logitMin-20.4087 | logitMax-3.6603 | memoryGate0.3333 | Training
2025-04-01 19:08:22 | 800 | LR0.0003 | loss25.9656 | gradNorm0.9999 | tokenCount3.0 | logitMin-18.2206 | logitMax-0.0846 | memoryGate0.3333 | Training
2025-04-01 19:13:27 | 900 | LR0.0003 | loss27.3691 | gradNorm1.0000 | tokenCount3.0 | logitMin-17.4012 | logitMax-0.0790 | memoryGate0.3333 | Training
2025-04-01 19:18:32 | 1000 | LR0.0003 | loss24.1723 | gradNorm0.9999 | tokenCount3.0 | logitMin-19.2032 | logitMax-2.1985 | memoryGate0.3333 | Training
2025-04-01 19:23:34 | 1100 | LR0.0003 | loss30.3460 | gradNorm1.0000 | tokenCount3.0 | logitMin-20.8373 | logitMax1.9195 | memoryGate0.3333 | Training
2025-04-01 19:28:44 | 1200 | LR0.0003 | loss28.5961 | gradNorm1.0000 | tokenCount3.0 | logitMin-19.8951 | logitMax3.8860 | memoryGate0.3333 | Training
2025-04-01 19:34:13 | 1300 | LR0.0003 | loss32.2821 | gradNorm1.0000 | tokenCount3.0 | logitMin-19.3933 | logitMax2.3823 | memoryGate0.3333 | Training
2025-04-01 19:39:15 | 1400 | LR0.0003 | loss33.0538 | gradNorm0.9999 | tokenCount3.0 | logitMin-22.2607 | logitMax-0.2244 | memoryGate0.3333 | Training
2025-04-01 19:44:16 | 1500 | LR0.0003 | loss28.9576 | gradNorm0.9999 | tokenCount3.0 | logitMin-22.6218 | logitMax-2.6689 | memoryGate0.3333 | Training
2025-04-01 19:49:18 | 1600 | LR0.0003 | loss26.6218 | gradNorm1.0000 | tokenCount3.0 | logitMin-21.1539 | logitMax-0.7930 | memoryGate0.3333 | Training
2025-04-01 19:54:22 | 1700 | LR0.0003 | loss28.0978 | gradNorm1.0000 | tokenCount3.0 | logitMin-23.3998 | logitMax-5.5864 | memoryGate0.3333 | Training
2025-04-01 19:59:25 | 1800 | LR0.0003 | loss26.6205 | gradNorm1.0000 | tokenCount3.0 | logitMin-21.6166 | logitMax-1.4836 | memoryGate0.3333 | Training
2025-04-01 20:04:25 | 1900 | LR0.0003 | loss24.9773 | gradNorm0.9999 | tokenCount3.0 | logitMin-18.9415 | logitMax-0.0932 | memoryGate0.3333 | Training
2025-04-01 20:09:28 | 2000 | LR0.0003 | loss29.7596 | gradNorm0.9999 | tokenCount3.0 | logitMin-22.3863 | logitMax0.0956 | memoryGate0.3333 | Training
2025-04-01 20:14:51 | 2100 | LR0.0003 | loss32.5226 | gradNorm1.0000 | tokenCount3.0 | logitMin-23.1460 | logitMax-2.1832 | memoryGate0.3332 | Training
2025-04-01 20:20:06 | 2200 | LR0.0003 | loss24.4373 | gradNorm1.0000 | tokenCount3.0 | logitMin-21.9835 | logitMax-2.8372 | memoryGate0.3333 | Training
2025-04-01 20:25:09 | 2300 | LR0.0003 | loss24.9945 | gradNorm0.9999 | tokenCount3.0 | logitMin-25.1943 | logitMax-3.0558 | memoryGate0.3333 | Training
2025-04-01 20:30:16 | 2400 | LR0.0003 | loss20.2155 | gradNorm0.9999 | tokenCount3.0 | logitMin-22.2242 | logitMax-3.7165 | memoryGate0.3333 | Training
2025-04-01 20:35:23 | 2500 | LR0.0003 | loss27.2108 | gradNorm0.9999 | tokenCount3.0 | logitMin-23.9809 | logitMax-1.4615 | memoryGate0.3333 | Training
2025-04-01 20:40:26 | 2600 | LR0.0003 | loss26.9940 | gradNorm0.9999 | tokenCount3.0 | logitMin-20.0604 | logitMax-1.9417 | memoryGate0.3333 | Training
2025-04-01 20:45:29 | 2700 | LR0.0003 | loss29.1266 | gradNorm0.9999 | tokenCount3.0 | logitMin-16.0422 | logitMax2.2092 | memoryGate0.3333 | Training
2025-04-01 20:50:28 | 2800 | LR0.0003 | loss28.6907 | gradNorm1.0000 | tokenCount3.0 | logitMin-13.4413 | logitMax4.4387 | memoryGate0.3333 | Training
2025-04-01 20:55:28 | 2900 | LR0.0003 | loss24.7875 | gradNorm1.0000 | tokenCount3.0 | logitMin-13.7510 | logitMax0.9572 | memoryGate0.3333 | Training
2025-04-01 21:00:28 | 3000 | LR0.0003 | loss26.1847 | gradNorm0.9999 | tokenCount3.0 | logitMin-12.6249 | logitMax8.3062 | memoryGate0.3333 | Training
2025-04-01 21:07:45 | 100 | LR0.0003 | loss14.7036 | gradNorm0.9061 | logitMin-42.4305 | logitMax17.3397 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 21:14:59 | 100 | LR0.0003 | loss16.9396 | gradNorm0.7678 | logitMin-56.2336 | logitMax18.6931 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 21:20:00 | 200 | LR0.0003 | loss36.8145 | gradNorm1.0000 | tokenCount3.0 | logitMin-24.9412 | logitMax19.1514 | memoryGate0.3333 | Training
2025-04-01 21:25:01 | 300 | LR0.0003 | loss23.0219 | gradNorm1.0000 | tokenCount3.0 | logitMin-14.3042 | logitMax6.8406 | memoryGate0.3333 | Training
2025-04-01 21:30:18 | 400 | LR0.0003 | loss29.3314 | gradNorm0.9999 | tokenCount3.0 | logitMin-8.8192 | logitMax14.9666 | memoryGate0.3333 | Training
2025-04-01 21:35:24 | 500 | LR0.0003 | loss20.4540 | gradNorm1.0000 | tokenCount3.0 | logitMin-11.9824 | logitMax7.4463 | memoryGate0.3333 | Training
2025-04-01 21:40:26 | 600 | LR0.0003 | loss25.2823 | gradNorm1.0000 | tokenCount3.0 | logitMin-12.3428 | logitMax16.5294 | memoryGate0.3333 | Training
2025-04-01 21:45:24 | 700 | LR0.0003 | loss31.4508 | gradNorm0.9999 | tokenCount3.0 | logitMin-19.1426 | logitMax2.6938 | memoryGate0.3333 | Training
2025-04-01 21:50:30 | 800 | LR0.0003 | loss36.8405 | gradNorm0.9999 | tokenCount3.0 | logitMin-19.3549 | logitMax9.1268 | memoryGate0.3333 | Training
2025-04-01 21:55:36 | 900 | LR0.0003 | loss26.9790 | gradNorm1.0000 | tokenCount3.0 | logitMin-18.9057 | logitMax2.1537 | memoryGate0.3333 | Training
2025-04-01 22:00:41 | 1000 | LR0.0003 | loss27.6177 | gradNorm0.9999 | tokenCount3.0 | logitMin-20.3433 | logitMax-0.3409 | memoryGate0.3333 | Training
2025-04-01 22:05:45 | 1100 | LR0.0003 | loss30.4468 | gradNorm0.9999 | tokenCount3.0 | logitMin-16.6368 | logitMax3.6719 | memoryGate0.3333 | Training
2025-04-01 22:10:52 | 1200 | LR0.0003 | loss29.1419 | gradNorm0.9999 | tokenCount3.0 | logitMin-17.3139 | logitMax3.9663 | memoryGate0.3333 | Training
2025-04-01 22:15:59 | 1300 | LR0.0003 | loss31.9550 | gradNorm1.0000 | tokenCount3.0 | logitMin-17.1736 | logitMax2.7218 | memoryGate0.3333 | Training
2025-04-01 22:21:03 | 1400 | LR0.0003 | loss25.8868 | gradNorm1.0000 | tokenCount3.0 | logitMin-19.7630 | logitMax-2.4917 | memoryGate0.3333 | Training
2025-04-01 22:26:05 | 1500 | LR0.0003 | loss29.5466 | gradNorm0.9999 | tokenCount3.0 | logitMin-14.5098 | logitMax3.4289 | memoryGate0.3333 | Training
2025-04-01 22:31:10 | 1600 | LR0.0003 | loss30.4051 | gradNorm0.9999 | tokenCount3.0 | logitMin-21.5041 | logitMax3.7333 | memoryGate0.3333 | Training
2025-04-01 22:36:15 | 1700 | LR0.0003 | loss23.1768 | gradNorm0.9999 | tokenCount3.0 | logitMin-15.5939 | logitMax-0.6964 | memoryGate0.3333 | Training
2025-04-01 22:41:19 | 1800 | LR0.0003 | loss27.3495 | gradNorm0.9999 | tokenCount3.0 | logitMin-14.9084 | logitMax2.8444 | memoryGate0.3333 | Training
2025-04-01 22:46:29 | 1900 | LR0.0003 | loss30.0088 | gradNorm1.0000 | tokenCount3.0 | logitMin-13.2441 | logitMax5.4359 | memoryGate0.3333 | Training
2025-04-01 22:51:34 | 2000 | LR0.0003 | loss23.6316 | gradNorm1.0000 | tokenCount3.0 | logitMin-14.4948 | logitMax0.4381 | memoryGate0.3333 | Training
2025-04-01 22:56:39 | 2100 | LR0.0003 | loss27.2806 | gradNorm1.0000 | tokenCount3.0 | logitMin-19.5204 | logitMax-2.2543 | memoryGate0.3333 | Training
2025-04-01 23:01:43 | 2200 | LR0.0003 | loss26.3956 | gradNorm1.0000 | tokenCount3.0 | logitMin-21.4683 | logitMax-3.8360 | memoryGate0.3333 | Training
2025-04-01 23:06:46 | 2300 | LR0.0003 | loss33.3138 | gradNorm0.9999 | tokenCount3.0 | logitMin-15.6333 | logitMax5.2463 | memoryGate0.3333 | Training
2025-04-01 23:11:50 | 2400 | LR0.0003 | loss33.3394 | gradNorm1.0000 | tokenCount3.0 | logitMin-16.4075 | logitMax3.8364 | memoryGate0.3333 | Training
2025-04-01 23:16:53 | 2500 | LR0.0003 | loss33.3330 | gradNorm1.0000 | tokenCount3.0 | logitMin-15.6599 | logitMax4.7845 | memoryGate0.3333 | Training
2025-04-01 23:21:57 | 2600 | LR0.0003 | loss24.2506 | gradNorm1.0000 | tokenCount3.0 | logitMin-12.3718 | logitMax6.7045 | memoryGate0.3333 | Training
2025-04-01 23:27:02 | 2700 | LR0.0003 | loss26.0060 | gradNorm0.9999 | tokenCount3.0 | logitMin-16.7034 | logitMax1.5468 | memoryGate0.3333 | Training
2025-04-01 23:32:09 | 2800 | LR0.0003 | loss26.8718 | gradNorm0.9999 | tokenCount3.0 | logitMin-17.3913 | logitMax0.4701 | memoryGate0.3333 | Training
2025-04-01 23:37:16 | 2900 | LR0.0003 | loss22.2631 | gradNorm1.0000 | tokenCount3.0 | logitMin-12.6677 | logitMax4.5477 | memoryGate0.3333 | Training
2025-04-01 23:42:23 | 3000 | LR0.0003 | loss23.4110 | gradNorm1.0000 | tokenCount3.0 | logitMin-14.7730 | logitMax0.3550 | memoryGate0.3333 | Training
2025-04-01 23:47:30 | 3100 | LR0.0003 | loss25.3585 | gradNorm1.0000 | tokenCount3.0 | logitMin-14.9065 | logitMax3.0423 | memoryGate0.3333 | Training
2025-04-01 23:52:49 | 3200 | LR0.0003 | loss22.0596 | gradNorm1.0000 | tokenCount3.0 | logitMin-19.4981 | logitMax-5.0116 | memoryGate0.3333 | Training
2025-04-01 23:57:55 | 3300 | LR0.0003 | loss26.9559 | gradNorm1.0000 | tokenCount3.0 | logitMin-16.5293 | logitMax0.8592 | memoryGate0.3333 | Training
2025-04-02 00:02:57 | 3400 | LR0.0003 | loss35.0140 | gradNorm0.9999 | tokenCount3.0 | logitMin-20.4413 | logitMax3.4038 | memoryGate0.3333 | Training
2025-04-02 00:12:44 | 100 | LR0.0003 | loss8.3942 | gradNorm0.8610 | logitMin-45.1363 | logitMax13.7440 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-02 00:17:38 | 200 | LR0.0003 | loss22.2925 | gradNorm1.0000 | tokenCount3.0 | logitMin-18.4357 | logitMax13.0838 | memoryGate0.3332 | Training
2025-04-02 00:22:31 | 300 | LR0.0003 | loss25.7636 | gradNorm1.0000 | tokenCount3.0 | logitMin-13.9388 | logitMax5.0539 | memoryGate0.3333 | Training
2025-04-02 00:27:28 | 400 | LR0.0003 | loss22.4632 | gradNorm1.0000 | tokenCount3.0 | logitMin-12.4408 | logitMax6.7920 | memoryGate0.3333 | Training
2025-04-02 00:32:24 | 500 | LR0.0003 | loss32.1460 | gradNorm1.0000 | tokenCount3.0 | logitMin-18.1606 | logitMax3.8530 | memoryGate0.3333 | Training
2025-04-02 00:37:21 | 600 | LR0.0003 | loss25.3075 | gradNorm0.9999 | tokenCount3.0 | logitMin-15.7292 | logitMax2.5132 | memoryGate0.3333 | Training
2025-04-02 00:42:20 | 700 | LR0.0003 | loss31.5421 | gradNorm0.9999 | tokenCount3.0 | logitMin-17.6094 | logitMax2.5439 | memoryGate0.3333 | Training
2025-04-02 00:47:18 | 800 | LR0.0003 | loss24.7005 | gradNorm0.9999 | tokenCount3.0 | logitMin-15.8456 | logitMax0.9597 | memoryGate0.3333 | Training
2025-04-02 00:52:16 | 900 | LR0.0003 | loss26.9339 | gradNorm0.9999 | tokenCount3.0 | logitMin-17.1458 | logitMax2.9692 | memoryGate0.3333 | Training
2025-04-02 00:57:14 | 1000 | LR0.0003 | loss30.3401 | gradNorm0.9999 | tokenCount3.0 | logitMin-17.6995 | logitMax2.2568 | memoryGate0.3333 | Training
2025-04-02 01:02:12 | 1100 | LR0.0003 | loss31.4028 | gradNorm0.9999 | tokenCount3.0 | logitMin-17.7769 | logitMax1.8191 | memoryGate0.3333 | Training
2025-04-02 01:07:12 | 1200 | LR0.0003 | loss25.7291 | gradNorm0.9999 | tokenCount3.0 | logitMin-19.9712 | logitMax-5.3496 | memoryGate0.3333 | Training
2025-04-02 01:12:13 | 1300 | LR0.0003 | loss31.0665 | gradNorm0.9999 | tokenCount3.0 | logitMin-23.5206 | logitMax-3.7154 | memoryGate0.3333 | Training
2025-04-02 04:41:28 | 100 | LR0.0003 | loss9.0451 | gradNorm0.7675 | logitMin-44.5281 | logitMax17.1989 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
